"AALIYAH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 017","0 014","-","0 014","0 010","0 026","0 021","0 026","0 015","0 017","0 023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABIGAIL","-","-","-","-","-","-","-","-","-","-","0 010","-","0 013","0 015","0 018","0 013","0 017","0 020","0 021","0 027","0 026","0 033","0 015","0 028","0 023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABRAR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADA","-","-","-","0 014","-","0 012","0 012","0 014","0 014","0 012","0 014","0 021","0 025","0 022","0 023","0 024","0 029","0 028","0 038","0 041","0 047","0 055","0 060","0 063","0 073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADEA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELA","-","-","0 010","-","-","0 012","-","-","0 012","0 013","-","-","0 013","-","0 015","0 010","-","0 017","0 011","0 013","-","-","0 012","-","0 015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELE","-","-","-","-","-","-","-","-","-","-","0 010","-","-","0 014","0 044","0 054","0 089","0 092","0 124","0 103","0 068","0 075","0 064","0 068","0 088","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELIA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 015","0 014","0 012","0 025","0 015","0 010","0 016","0 017","0 015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELINA","0 012","-","-","0 010","0 010","-","-","-","-","-","-","0 010","-","0 013","0 012","-","0 020","0 015","0 023","0 015","0 012","0 012","0 014","0 012","0 013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELINE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 018","0 017","0 019","0 022","0 031","0 016","0 018","0 015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADELLE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 017","0 025","0 021","-","-","-","0 011","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADINA","0 022","0 026","0 018","0 029","0 022","0 015","0 025","0 023","0 024","0 027","0 012","0 023","0 015","-","0 019","0 010","0 012","0 014","0 015","-","-","0 010","0 016","0 021","0 012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADNA","-","-","-","-","-","-","-","0 012","-","-","-","-","-","-","-","0 012","0 014","0 019","-","-","0 017","-","0 015","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADRIANA","-","-","-","-","0 012","-","-","0 012","-","0 015","0 019","0 023","0 020","0 019","0 023","0 029","0 029","0 028","0 032","0 026","0 028","0 022","0 027","0 028","0 023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADRIENNE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 017","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADÈLE","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","0 010","-","-","-","-","-","0 011","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
