"AARON","-","-","0 012","-","0 015","0 020","0 024","0 021","0 031","0 035","0 043","0 040","0 041","0 043","0 066","0 055","0 068","0 063","0 079","0 082","0 081","0 096","0 125","0 117","0 087","","","","","","","","","","","","","","","","","","","","","","",""
"ABBAS","-","-","-","-","-","-","-","-","-","0 011","0 013","0 018","0 011","0 020","0 012","0 017","0 012","0 016","0 016","0 022","0 015","0 012","0 010","0 014","0 012","","","","","","","","","","","","","","","","","","","","","","",""
"ABBE","-","-","-","-","0 011","0 020","0 016","0 021","0 027","0 039","0 026","0 037","0 045","0 051","0 059","0 069","0 055","0 085","0 092","0 088","0 082","0 079","0 073","0 070","0 067","","","","","","","","","","","","","","","","","","","","","","",""
"ABDALLAH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 011","-","-","0 010","-","0 011","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ABDIRAHIM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ABDIRAHMAN","0 015","0 015","0 021","0 020","0 016","0 029","0 016","0 012","0 022","0 016","0 021","0 024","0 029","0 030","0 033","0 032","0 053","0 047","0 056","0 048","0 037","0 033","0 030","0 029","0 018","","","","","","","","","","","","","","","","","","","","","","",""
"ABDUL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","","","","","","","","","","","","","","","","","","","","","","",""
"ABDULAHI","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","0 011","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ABDULLAH","-","0 012","0 010","-","-","0 014","0 010","0 010","-","0 011","-","0 020","0 024","0 022","0 028","0 027","0 033","0 037","0 029","0 032","0 037","0 021","0 033","0 028","0 023","","","","","","","","","","","","","","","","","","","","","","",""
"ABDULLAHI","0 012","-","0 017","0 012","-","0 014","0 016","0 010","0 014","0 010","0 014","0 015","0 013","0 024","0 018","0 026","0 034","0 043","0 039","0 029","0 018","0 026","0 022","0 020","0 010","","","","","","","","","","","","","","","","","","","","","","",""
"ABDULRAHMAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 011","0 025","0 020","-","0 019","0 018","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ABEL","-","-","-","-","-","-","0 010","-","-","-","-","-","-","-","0 011","-","0 010","-","0 014","-","-","0 012","0 015","0 013","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ABRAHAM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","0 010","-","-","-","-","-","0 012","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ACKE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","0 014","0 013","","","","","","","","","","","","","","","","","","","","","","",""
"ADAM","0 614","0 712","0 797","0 695","0 662","0 670","0 626","0 579","0 567","0 526","0 463","0 502","0 470","0 478","0 452","0 464","0 458","0 537","0 574","0 610","0 635","0 612","0 592","0 638","0 552","","","","","","","","","","","","","","","","","","","","","","",""
"ADEL","0 010","-","-","-","0 011","-","0 010","-","-","0 013","-","-","0 010","-","-","-","-","-","0 011","0 010","-","0 013","-","0 011","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ADEM","-","-","-","-","-","-","-","-","-","0 012","-","-","-","0 010","0 014","0 012","0 018","0 020","0 017","0 013","0 012","0 022","0 015","0 023","0 015","","","","","","","","","","","","","","","","","","","","","","",""
"ADIAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","0 011","-","","","","","","","","","","","","","","","","","","","","","","",""
"ADIL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","0 011","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ADIN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","0 012","0 010","0 013","0 013","0 014","0 018","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ADIS","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ADNAN","0 013","0 011","0 011","-","0 011","0 019","0 013","-","0 016","0 015","0 017","0 019","0 016","0 018","0 018","0 012","0 021","0 025","0 018","0 022","0 027","0 027","0 013","0 022","0 022","","","","","","","","","","","","","","","","","","","","","","",""
"ADONAY","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","0 011","0 010","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ADRIAN","0 154","0 147","0 154","0 149","0 179","0 200","0 238","0 229","0 263","0 255","0 263","0 279","0 275","0 298","0 340","0 397","0 444","0 411","0 551","0 501","0 440","0 493","0 420","0 398","0 332","","","","","","","","","","","","","","","","","","","","","","",""
"ADRIANO","-","-","-","-","-","-","-","-","-","-","-","0 013","-","-","-","-","-","0 011","-","-","0 010","0 010","0 019","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AGATON","-","-","-","0 010","-","-","0 010","-","0 016","-","0 016","0 016","0 021","0 025","0 011","0 015","0 012","0 017","0 014","0 015","0 016","0 010","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AGUST","-","-","-","-","-","0 011","0 010","-","-","-","-","0 016","-","0 017","0 015","-","0 024","0 015","0 010","0 011","0 011","0 017","-","0 015","0 012","","","","","","","","","","","","","","","","","","","","","","",""
"AHMAD","0 023","0 026","0 025","0 021","0 026","0 024","0 022","0 029","0 023","0 033","0 031","0 036","0 038","0 041","0 033","0 038","0 042","0 063","0 068","0 098","0 084","0 072","0 073","0 052","0 065","","","","","","","","","","","","","","","","","","","","","","",""
"AHMED","0 051","0 058","0 062","0 054","0 051","0 046","0 047","0 064","0 047","0 056","0 065","0 063","0 076","0 072","0 085","0 086","0 094","0 105","0 089","0 087","0 078","0 084","0 060","0 052","0 062","","","","","","","","","","","","","","","","","","","","","","",""
"AIDEN","-","-","-","-","-","-","-","-","-","-","-","-","-","0 013","0 012","0 016","0 015","0 018","0 023","0 028","0 015","0 037","0 039","0 033","0 018","","","","","","","","","","","","","","","","","","","","","","",""
"AJAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","0 012","-","0 014","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AJDIN","-","-","-","-","-","0 014","-","-","0 015","-","-","-","0 013","0 018","-","0 013","0 013","-","0 010","0 011","-","-","0 011","0 010","0 010","","","","","","","","","","","","","","","","","","","","","","",""
"AKRAM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 015","-","0 018","0 027","0 021","0 029","0 031","0 032","0 026","0 021","","","","","","","","","","","","","","","","","","","","","","",""
"AKSEL","-","-","-","-","-","-","-","-","0 010","-","-","-","0 013","-","-","0 011","0 015","0 014","0 016","0 017","0 012","0 015","-","0 012","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ALAN","0 022","0 012","0 014","0 015","0 022","0 022","0 019","0 023","0 019","0 017","0 019","0 013","0 024","0 016","0 013","0 024","0 022","0 025","0 030","0 028","0 028","0 030","0 021","0 025","0 027","","","","","","","","","","","","","","","","","","","","","","",""
"ALAND","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALBERT","0 062","0 048","0 078","0 079","0 068","0 085","0 076","0 077","0 088","0 090","0 082","0 081","0 102","0 108","0 086","0 099","0 101","0 093","0 096","0 086","0 091","0 092","0 081","0 091","0 067","","","","","","","","","","","","","","","","","","","","","","",""
"ALBIN","0 669","0 683","0 731","0 845","0 921","0 921","0 801","0 769","0 749","0 695","0 613","0 602","0 580","0 525","0 480","0 454","0 446","0 413","0 374","0 343","0 321","0 347","0 320","0 304","0 259","","","","","","","","","","","","","","","","","","","","","","",""
"ALBUS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","-","0 012","","","","","","","","","","","","","","","","","","","","","","",""
"ALDIN","-","-","-","0 010","-","0 011","0 018","0 022","0 015","0 022","0 016","0 011","0 020","0 011","0 019","-","-","-","-","-","-","-","-","0 013","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEC","-","-","-","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEJANDRO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEKS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEKSANDAR","0 017","0 016","0 013","0 010","0 011","0 014","0 010","-","-","0 012","-","0 010","-","-","-","0 015","0 014","0 014","0 010","0 012","0 013","-","0 013","0 014","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEKSANDER","0 010","-","-","-","-","0 010","-","0 010","-","0 010","0 014","0 012","0 013","0 017","0 011","0 019","0 013","0 015","0 013","0 026","0 018","0 032","0 024","0 018","0 020","","","","","","","","","","","","","","","","","","","","","","",""
"ALEN","0 011","0 010","-","-","0 014","0 012","-","0 010","0 014","-","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALESSANDRO","-","0 011","-","-","-","-","0 010","-","0 012","0 010","-","-","-","0 013","0 010","-","0 016","-","0 010","-","-","-","-","-","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ALESSIO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 014","-","0 015","0 013","0 019","0 017","0 014","","","","","","","","","","","","","","","","","","","","","","",""
"ALEX","0 211","0 208","0 190","0 210","0 233","0 215","0 210","0 202","0 224","0 231","0 263","0 220","0 232","0 168","0 182","0 149","0 180","0 150","0 125","0 115","0 101","0 097","0 093","0 088","0 059","","","","","","","","","","","","","","","","","","","","","","",""
"ALEXANDER","1 066","1 009","0 995","0 936","1 065","1 015","0 962","0 941","0 896","0 767","0 838","0 821","0 866","0 717","0 738","0 669","0 612","0 575","0 651","0 673","0 598","0 527","0 493","0 406","0 316","","","","","","","","","","","","","","","","","","","","","","",""
"ALEXANDROS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","-","-","-","0 010","0 011","-","-","0 010","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALEXIS","-","-","-","-","-","-","-","-","0 010","-","0 010","-","-","0 010","0 015","0 024","0 016","0 031","0 033","0 029","0 026","0 012","0 017","0 021","0 021","","","","","","","","","","","","","","","","","","","","","","",""
"ALF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 013","-","0 013","0 013","0 019","0 022","0 022","0 035","0 017","","","","","","","","","","","","","","","","","","","","","","",""
"ALFIE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","","","","","","","","","","","","","","","","","","","","","","",""
"ALFONS","0 024","0 030","0 045","0 051","0 063","0 062","0 095","0 099","0 100","0 107","0 114","0 104","0 103","0 099","0 085","0 086","0 066","0 069","0 075","0 065","0 054","0 065","0 080","0 070","0 072","","","","","","","","","","","","","","","","","","","","","","",""
"ALFRED","0 129","0 135","0 145","0 161","0 258","0 269","0 268","0 299","0 303","0 319","0 362","0 420","0 478","0 431","0 495","0 473","0 547","0 456","0 541","0 496","0 501","0 509","0 555","0 540","0 502","","","","","","","","","","","","","","","","","","","","","","",""
"ALGOT","-","0 014","0 022","0 016","0 036","0 046","0 056","0 064","0 065","0 082","0 107","0 113","0 121","0 124","0 115","0 125","0 126","0 165","0 124","0 123","0 130","0 145","0 168","0 140","0 136","","","","","","","","","","","","","","","","","","","","","","",""
"ALI","0 099","0 079","0 087","0 111","0 097","0 123","0 103","0 100","0 112","0 118","0 128","0 128","0 144","0 144","0 152","0 143","0 147","0 151","0 175","0 179","0 150","0 173","0 135","0 131","0 127","","","","","","","","","","","","","","","","","","","","","","",""
"ALLAN","0 013","0 016","0 011","0 014","0 016","0 017","0 019","0 017","0 032","0 025","0 029","0 037","0 037","0 032","0 047","0 032","0 054","0 052","0 052","0 082","0 070","0 065","0 053","0 092","0 098","","","","","","","","","","","","","","","","","","","","","","",""
"ALMIN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALMIR","0 012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALTIN","-","-","-","-","-","0 010","-","0 010","-","-","0 012","0 012","-","-","-","-","-","0 011","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ALVAR","-","-","0 010","-","0 011","-","0 024","0 040","0 062","0 065","0 074","0 070","0 096","0 096","0 093","0 110","0 103","0 105","0 122","0 116","0 118","0 127","0 148","0 143","0 118","","","","","","","","","","","","","","","","","","","","","","",""
"ALVE","-","-","-","-","0 011","0 014","0 017","0 024","0 038","0 031","0 029","0 046","0 062","0 070","0 084","0 077","0 109","0 095","0 097","0 098","0 125","0 132","0 143","0 167","0 146","","","","","","","","","","","","","","","","","","","","","","",""
"ALVIN","0 035","0 018","0 040","0 062","0 084","0 156","0 250","0 253","0 348","0 364","0 413","0 464","0 445","0 373","0 335","0 291","0 271","0 272","0 219","0 187","0 182","0 183","0 183","0 169","0 150","","","","","","","","","","","","","","","","","","","","","","",""
"ALWIN","-","-","-","-","-","-","0 017","0 026","0 034","0 045","0 054","0 054","0 043","0 042","0 040","0 051","0 050","0 050","0 032","0 034","0 036","0 042","0 028","0 028","0 028","","","","","","","","","","","","","","","","","","","","","","",""
"AMADEUS","0 013","0 021","0 015","0 031","0 024","0 024","0 031","0 028","0 027","0 030","0 030","0 030","0 035","0 015","0 038","0 051","0 047","0 050","0 052","0 054","0 046","0 039","0 045","0 053","0 045","","","","","","","","","","","","","","","","","","","","","","",""
"AMANDUS","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","0 017","0 021","0 015","0 010","0 015","0 010","0 013","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AMAR","-","-","0 012","0 014","-","0 013","0 012","0 013","0 015","-","0 010","0 023","0 016","0 016","0 014","0 014","0 011","0 026","0 016","0 016","0 016","0 012","0 017","-","0 012","","","","","","","","","","","","","","","","","","","","","","",""
"AMEL","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AMEN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","","","","","","","","","","","","","","","","","","","","","","",""
"AMER","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AMIN","0 017","-","0 016","0 012","-","0 023","0 011","0 023","0 022","0 012","0 033","0 022","0 023","0 026","0 025","0 024","0 029","0 025","0 022","0 032","0 025","0 028","0 024","0 027","0 033","","","","","","","","","","","","","","","","","","","","","","",""
"AMIR","0 032","0 026","0 027","0 026","0 026","0 029","0 031","0 037","0 026","0 045","0 046","0 046","0 064","0 066","0 070","0 081","0 084","0 094","0 101","0 128","0 145","0 140","0 158","0 120","0 127","","","","","","","","","","","","","","","","","","","","","","",""
"AMMAR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","0 015","0 016","-","0 010","0 012","-","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"AMOS","-","-","-","-","-","-","-","-","-","-","-","0 012","-","-","-","0 010","0 010","-","-","-","-","-","0 010","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANAKIN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANAS","-","-","-","-","-","0 011","-","-","0 010","0 023","0 023","0 034","0 042","0 039","0 026","0 067","0 047","0 042","0 039","0 051","0 046","0 042","0 060","0 041","0 039","","","","","","","","","","","","","","","","","","","","","","",""
"ANDERS","0 067","0 053","0 045","0 038","0 034","0 035","0 037","0 028","0 023","0 014","0 025","0 011","0 013","-","0 012","0 016","0 011","-","-","-","-","0 011","0 013","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDI","-","-","-","-","-","-","0 011","-","0 010","-","-","-","-","-","0 015","0 014","-","0 013","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDREAS","0 543","0 481","0 370","0 317","0 298","0 228","0 204","0 173","0 116","0 102","0 062","0 056","0 058","0 050","0 044","0 044","0 040","0 030","0 027","0 024","0 019","0 034","0 025","0 015","0 019","","","","","","","","","","","","","","","","","","","","","","",""
"ANDREJ","-","-","-","-","-","-","-","-","-","0 012","0 011","-","-","0 011","0 010","-","0 011","-","-","0 013","0 010","0 014","-","0 018","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDREW","-","-","-","-","-","-","-","-","0 014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDRÉ","0 169","0 130","0 120","0 119","0 115","0 112","0 094","0 102","0 102","0 060","0 055","0 043","0 044","0 043","0 032","0 039","0 032","0 021","0 017","0 012","0 020","0 017","0 021","0 018","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDRÉAS","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANDY","0 015","-","0 011","0 015","0 017","0 014","0 016","0 017","0 013","0 016","0 015","0 014","0 015","-","0 013","0 010","-","-","-","-","-","-","0 010","0 015","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANES","-","-","-","-","-","-","-","0 016","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANGELO","-","-","-","-","0 015","0 015","0 027","0 027","0 028","0 025","0 026","0 024","0 025","0 029","0 033","0 031","0 027","0 029","0 020","0 030","0 025","0 020","0 017","0 017","0 013","","","","","","","","","","","","","","","","","","","","","","",""
"ANTE","-","-","-","-","-","-","0 012","0 013","0 011","0 010","0 017","-","-","0 011","0 011","-","-","-","-","-","-","-","0 010","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHON","0 018","0 015","0 020","0 015","0 022","0 010","0 014","0 015","0 014","0 014","0 010","-","0 010","-","0 010","-","0 011","0 010","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHONY","0 020","0 018","0 020","0 035","0 034","0 021","0 016","0 025","0 025","0 018","0 029","0 028","0 029","0 021","0 021","0 017","0 028","0 030","0 024","0 028","0 020","0 025","0 019","0 017","0 031","","","","","","","","","","","","","","","","","","","","","","",""
"ANTON","1 067","1 091","1 062","0 991","0 973","0 991","0 914","0 840","0 887","0 809","0 694","0 654","0 616","0 648","0 602","0 570","0 450","0 425","0 292","0 237","0 213","0 212","0 192","0 158","0 093","","","","","","","","","","","","","","","","","","","","","","",""
"ANTONI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","0 012","0 012","0 015","0 011","0 015","0 019","0 016","0 010","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ANTONIO","0 036","0 031","0 043","0 041","0 042","0 043","0 043","0 043","0 039","0 041","0 036","0 031","0 033","0 028","0 028","0 022","0 032","0 022","0 024","0 019","0 021","0 015","0 014","0 019","0 016","","","","","","","","","","","","","","","","","","","","","","",""
"ANWAR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","0 012","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"AOUS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 013","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARAM","-","-","-","-","-","-","-","-","-","-","-","0 010","0 010","-","0 013","0 012","0 011","0 017","0 017","0 014","0 028","0 028","0 028","0 025","0 021","","","","","","","","","","","","","","","","","","","","","","",""
"ARAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","0 011","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARAS","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","0 010","0 010","-","0 015","0 014","0 015","0 016","-","0 021","0 016","0 020","","","","","","","","","","","","","","","","","","","","","","",""
"ARDA","-","-","-","-","-","-","-","-","0 028","0 030","0 015","0 026","0 017","0 011","0 012","-","-","0 012","0 013","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARHAM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","0 022","-","0 011","","","","","","","","","","","","","","","","","","","","","","",""
"ARI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","0 011","0 013","0 017","0 018","0 014","","","","","","","","","","","","","","","","","","","","","","",""
"ARIAN","0 018","0 013","0 018","-","0 013","0 022","0 020","0 017","0 013","0 010","0 017","0 023","0 018","0 019","0 022","0 022","0 014","0 021","0 035","0 029","0 039","0 040","0 039","0 022","0 024","","","","","","","","","","","","","","","","","","","","","","",""
"ARILD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARIN","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARION","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARMAN","-","0 016","-","0 011","-","0 010","0 017","0 010","0 010","0 012","0 014","0 017","0 016","0 014","0 017","0 010","0 021","0 013","0 015","0 014","0 019","0 014","0 018","0 014","0 010","","","","","","","","","","","","","","","","","","","","","","",""
"ARMIN","0 020","0 010","0 019","0 012","0 027","0 021","0 024","0 014","0 020","0 011","0 018","0 018","0 016","-","0 016","0 017","0 018","0 013","0 012","0 028","-","0 022","0 015","0 016","0 017","","","","","","","","","","","","","","","","","","","","","","",""
"ARNE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","0 011","0 017","","","","","","","","","","","","","","","","","","","","","","",""
"ARNOLD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","0 022","0 020","0 026","0 017","0 024","","","","","","","","","","","","","","","","","","","","","","",""
"ARON","0 037","0 043","0 061","0 049","0 070","0 071","0 076","0 087","0 087","0 114","0 098","0 108","0 091","0 106","0 108","0 126","0 121","0 118","0 133","0 126","0 147","0 161","0 195","0 200","0 197","","","","","","","","","","","","","","","","","","","","","","",""
"ARTHUR","-","-","-","0 013","0 014","0 015","-","0 013","0 012","0 020","0 019","0 029","0 034","0 045","0 046","0 053","0 047","0 065","0 056","0 058","0 067","0 102","0 098","0 097","0 088","","","","","","","","","","","","","","","","","","","","","","",""
"ARTIN","-","0 010","-","-","-","-","0 013","-","-","0 011","0 010","0 014","0 011","-","0 016","0 010","-","0 011","0 013","0 010","0 011","-","0 011","-","0 013","","","","","","","","","","","","","","","","","","","","","","",""
"ARTUR","-","-","-","-","-","-","-","-","0 011","0 012","0 017","0 010","0 010","0 013","0 014","0 021","0 030","0 019","-","0 015","0 022","0 030","0 020","0 019","0 024","","","","","","","","","","","","","","","","","","","","","","",""
"ARVE","-","-","-","-","-","-","-","-","-","-","-","-","0 012","-","-","-","-","-","-","-","0 015","-","-","0 010","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARVID","0 213","0 203","0 231","0 286","0 326","0 411","0 413","0 442","0 475","0 485","0 500","0 544","0 589","0 563","0 531","0 565","0 540","0 523","0 495","0 445","0 454","0 472","0 476","0 463","0 441","","","","","","","","","","","","","","","","","","","","","","",""
"ARVIN","0 014","-","0 011","0 011","0 010","-","0 015","0 021","0 014","0 014","0 021","0 022","0 026","0 013","0 020","0 018","0 026","0 019","0 035","0 039","0 034","0 029","0 042","0 033","0 039","","","","","","","","","","","","","","","","","","","","","","",""
"ARWID","-","-","-","-","-","-","-","-","0 010","0 013","-","-","-","-","0 010","0 010","0 011","0 011","0 011","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ARYAN","-","-","-","-","-","-","-","-","-","-","0 012","-","0 012","0 010","-","0 014","0 011","0 018","0 021","0 014","-","0 013","0 010","0 016","0 021","","","","","","","","","","","","","","","","","","","","","","",""
"ASK","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 014","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ASKE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","","","","","","","","","","","","","","","","","","","","","","",""
"ASLAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","","","","","","","","","","","","","","","","","","","","","","",""
"ASSAR","-","-","-","-","-","-","-","-","0 017","0 010","0 022","0 020","0 026","0 014","0 023","0 019","0 022","0 030","0 029","0 029","0 030","0 033","0 024","0 023","0 032","","","","","","","","","","","","","","","","","","","","","","",""
"ASTON","-","-","-","-","-","-","-","0 015","0 019","0 025","0 029","0 057","0 051","0 051","0 078","0 084","0 093","0 097","0 119","0 105","0 111","0 099","0 102","0 133","0 136","","","","","","","","","","","","","","","","","","","","","","",""
"ASTOR","-","-","-","-","-","-","-","-","-","0 010","-","0 014","0 013","0 016","0 010","0 013","0 016","0 012","0 013","0 021","0 018","0 012","0 012","0 011","0 017","","","","","","","","","","","","","","","","","","","","","","",""
"ATLAS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","0 011","0 012","0 011","0 023","0 028","0 033","0 038","0 052","","","","","","","","","","","","","","","","","","","","","","",""
"ATLE","-","-","-","-","0 011","-","0 013","0 010","-","0 017","0 012","0 016","-","0 020","0 014","0 018","0 018","-","0 019","0 017","0 017","0 016","0 016","0 026","0 018","","","","","","","","","","","","","","","","","","","","","","",""
"AUGUST","0 084","0 087","0 105","0 104","0 133","0 130","0 108","0 116","0 110","0 108","0 139","0 153","0 166","0 180","0 222","0 240","0 261","0 304","0 317","0 377","0 387","0 391","0 476","0 514","0 550","","","","","","","","","","","","","","","","","","","","","","",""
"AXEL","0 495","0 562","0 538","0 581","0 610","0 685","0 754","0 745","0 741","0 691","0 676","0 705","0 675","0 670","0 624","0 658","0 572","0 609","0 534","0 507","0 522","0 436","0 400","0 354","0 326","","","","","","","","","","","","","","","","","","","","","","",""
